zakaznik_id;datum_nakupu;castka
CZ1417;2023-10-05;358,74
CZ1193;2024-02-23;322,16
CZ1157;2023-11-03;1557,94
CZ1172;2024-05-13;1258,83
CZ1292;2023-12-19;539,75
CZ1292;2023-12-04;304,66
CZ1496;2023-12-07;2497,71
CZ1092;2023-03-17;862,02
CZ1386;2023-01-30;1394,56
CZ1109;2024-06-04;2320,79
CZ1237;2023-12-20;2506,23
CZ1124;2024-07-20;3223,58
CZ1182;2024-04-22;3225,25
CZ1199;2024-03-07;862,1
CZ1243;2023-12-09;936,48
CZ1205;2023-11-13;1095,22
CZ1428;2023-09-12;2715,02
CZ1352;2023-09-02;2670,14
CZ1255;2024-07-23;2882,32
CZ1295;2023-03-31;2585,92
CZ1256;2023-05-18;1307,93
CZ1258;2023-09-10;1770,47
CZ1415;2024-06-04;1613,88
CZ1336;2023-01-11;789,57
CZ1175;2023-01-12;3142,83
CZ1330;2023-04-25;1160,63
CZ1244;2024-07-27;1355,73
CZ1052;2023-02-18;451,82
CZ1487;2024-06-26;2262,4
CZ1207;2024-06-08;874,03
CZ1232;2024-01-16;2947,41
CZ1374;2024-02-18;1298,08
 CZ1196;2023-06-18;308,65
CZ1051;2023-09-25;2181,06
CZ1151;2023-12-18;2142,28
CZ1341;2024-07-30;1419,42
CZ1496;2023-10-29;3016,54
CZ1353;2023-07-24;760,89
CZ1419;2023-07-07;663,16
CZ1118;2023-08-09;332,74
CZ1038;2024-03-02;1998,3
CZ1201;2024-03-14;1750,67
CZ1267;2023-05-20;367,03
CZ1338;2023-01-15;793,32
CZ1467;2023-03-15;1471,34
CZ1214;2023-08-21;967,39
CZ1185;2023-07-01;2853,96
CZ1103;2024-04-24;1867,27
CZ1195;2023-07-03;2571,49
CZ1323;2024-08-12;2975,07
CZ1224;2023-12-24;1781,13
CZ1333;2024-08-06;2799,76
CZ1066;2024-09-13;1245,34
CZ1112;2024-02-05;1229,42
CZ1253;2024-01-01;2170,59
CZ1462;2023-07-15;2624,02
CZ1123;2023-12-23;2548,8
CZ1451;2024-01-02;671,99
CZ1477;2024-08-13;3260,49
CZ1139;2024-06-20;1147,37
1019;2023-02-26;218,64
CZ1303;2024-04-04;3033,12
CZ1336;2023-07-14;1214,21
CZ1229;2023-01-30;1196,31
CZ1314;2023-07-13;1527,21
CZ1379;2023-09-13;326,76
CZ1249;2024-03-13;2457,35
CZ1315;2024-02-18;1373,05
CZ1266;2023-03-01;792,91
CZ1350;2023-09-10;2830,28
CZ1267;2023-11-08;1410,31
CZ1287;2024-02-19;1384,74
CZ1487;2024-04-28;301,96
CZ1190;2023-10-04;3235,75
CZ1298;2024-07-18;989,29
CZ1220;2023-04-22;517,7
CZ1090;2024-01-24;3311,36
CZ1345;2023-02-05;324,13
CZ1174;2024-04-10;1404,43
CZ1485;2023-05-12;2322,71
CZ1193;2024-01-08;1568,14
CZ1393;2024-06-24;928,1
CZ1040;2023-12-17;1258,11
CZ1281;2023-09-29;1401,01
CZ1054;2024-03-03;902,13
CZ1161;2023-11-23;866,5
CZ1416;2024-06-07;1019,26
CZ1336;2023-04-20;2512,57
CZ1296;2024-04-03;1761,06
CZ1320;2023-06-23;1719,77
CZ1347;2024-08-03;3265,5
CZ1362;2023-09-03;1158,23
CZ1243;2023-03-12;1939,28
CZ1029;2023-10-28;3097,7
CZ1181;2024-02-04;3480,46
CZ1263;2024-05-25;992,18
CZ1102;2024-04-18;2779,46
CZ1120;2023-06-28;768,12
CZ1293;2024-09-12;2983,95
CZ1309;2023-07-28;2402,14
CZ1262;2024-09-21;944,44
CZ1476;2023-09-26;2828,48
CZ1440;2023-08-25;2968,48
CZ1127;2024-06-30;351,53
CZ1102;2023-11-21;3230,64
CZ1160;2024-04-20;2984,96
CZ1214;2023-09-02;556,08
CZ1424;2024-06-26;660,66
CZ1295;2024-02-21;1603,75
CZ1327;2023-10-12;685,56
CZ1168;2024-02-28;1917,07
CZ1063;2024-06-17;339,12
CZ1065;2023-12-22;2184,75
CZ1117;2024-06-12;2077,51
CZ1250;2024-05-03;1093,14
CZ1473;2023-11-01;2283,99
CZ1137;2023-06-25;2052,96
CZ1327;2023-12-12;1373,7
CZ1012;2024-04-30;1639,87
CZ1266;2023-08-08;3168,53
CZ1402;2024-07-13;3022,52
CZ1135;2024-06-25;1057,06
CZ1193;2023-09-17;1305,02
CZ1017;2024-09-06;780,41
CZ1450;2024-06-28;2130,51
CZ1056;2024-01-09;3239,18
CZ1414;2024-02-28;3417,72
CZ1322;2024-01-29;2323,39
