zakaznik_id;datum_nakupu;castka
SK1065;2023-07-22;114,4
SK1455;2024-02-19;33,35
SK1329;2023-09-26;81,21
SK1150;2023-08-14;80,1
SK1172;2024-05-15;-303,21
SK1110;2023-02-24;53,73
SK1155;2024-08-05;15,33
SK1276;2024-04-05;33,92
SK1239;2023-09-22;135,28
SK1181;2024-05-24;46,65
SK1398;2023-02-06;84,83
SK1362;2023-06-27;22,21
SK1254;2023-08-31;76,73
SK1091;2024-05-01;63,88
SK1488;2024-05-02;36,34
SK1262;2024-06-22;33,35
SK1113;2023-06-26;91,41
SK1064;2024-03-25;59,1
SK1164;2024-01-08;100,19
SK1364;2024-07-30;70,03
SK1487;2023-02-10;31,59
SK1228;2024-09-24;79,78
SK1237;2023-08-05;123,71
SK1003;2024-01-24;114,09
SK1006;2024-07-11;130,27
SK1205;2023-03-01;14,65
SK1190;2024-02-03;94,31
SK1444;2024-07-03;96,44
SK1496;2024-04-28;60,04
SK1317;2024-07-04;14,03
SK1261;2023-12-09;69,14
SK1114;2024-06-22;110,93
SK1319;2024-06-11;42,73
SK1336;2024-05-09;72,1
SK1366;2023-12-07;113,08
SK1262;2023-08-20;112,93
SK1084;2024-08-29;46,37
SK1466;2023-09-29;41,13
SK1241;2024-06-07;115,9
SK1393;2023-09-30;77,35
SK1282;2024-08-24;127,56
SK1331;2023-10-13;99,89
SK1303;2023-12-14;69,66
SK1443;2024-09-04;54,24
SK1377;2023-06-10;50,73
SK1189;2024-02-10;61,95
SK1178;2023-09-04;58,33
SK1028;2024-03-08;42,75
SK1265;2023-06-23;132,33
SK1418;2024-09-11;79,98
SK1288;2023-05-23;31,53
SK1425;2023-07-08;108,83
SK1089;2023-10-09;39,44
SK1094;2024-09-07;114,04
SK1014;2023-11-13;73,54
SK1192;2024-08-11;38,03
SK1318;2023-03-31;41,91
SK1206;2023-08-22;52,82
SK1210;2024-07-07;74,75
SK1256;2024-06-08;48,89
SK1475;2023-10-10;67,79
SK1097;2023-04-19;103,14
SK1208;2024-08-13;31,01
SK1052;2023-12-25;16,36
SK1384;2024-06-09;60,76
SK1153;2023-11-13;90,37
SK1186;2023-09-23;57,45
SK1423;2023-11-23;139,42
SK1218;2023-02-25;41,26
SK1497;2024-04-14;112,88
SK1435;2023-12-27;128,57
SK1134;2023-05-03;110,51
SK1255;2023-08-28;55,11
SK1295;2023-12-18;120,04
SK1282;2024-07-24;14,7
SK1227;2024-02-06;23,39
SK1069;2024-05-28;126,35
SK1465;2024-05-23;42,74
SK1203;2023-08-12;134,63
SK1498;2023-03-20;105,27
SK1469;2024-07-05;70,67
SK1405;2024-08-30;80,27
SK1235;2024-05-31;67,28
SK1009;2024-03-26;113,14
SK1232;2023-12-17;28,8
SK1255;2024-03-06;20,34
SK1154;2023-12-24;51,28
SK1264;2024-06-15;132,19
SK1010;2023-09-25;62,87
SK1183;2024-04-17;31,01
SK1153;2024-01-23;92,36
SK1457;2023-03-04;67,54
SK1436;2023-03-05;117,4
SK1208;2023-11-28;53,78
SK1473;2024-02-07;84,67
SK1145;2024-05-14;58,43
SK1417;2024-06-11;23,85
SK1170;2023-08-11;63,39
SK1382;2023-08-27;122,27
SK1142;2024-09-10;102,62
SK1108;2024-08-14;139,91
SK1453;2023-08-30;58,8
SK1111;2024-02-06;
SK1287;2023-04-16;14,2
SK1135;2024-09-25;13,85
SK1001;2024-08-14;94,8
SK1033;2024-02-15;130,47
SK1409;2023-12-05;43,77
SK1144;2024-07-29;134,8
SK1385;2023-05-10;87,1
SK1499;2024-04-14;75,67
SK1267;2023-10-05;79,57
SK1237;2024-07-30;102,62
SK1243;2023-08-04;42,68
SK1342;2024-06-19;21,71
SK1246;2023-04-13;85,8
SK1484;2024-05-18;30,27
SK1324;2023-08-16;62,4
SK1055;2024-09-26;100,02
SK1435;2023-05-10;48,92
SK1245;2023-01-14;104,2
SK1199;2024-04-14;44,63
SK1010;2023-01-04;131,9
SK1485;2024-02-01;137,57
SK1430;2024-08-09;87,98
SK1058;2024-01-09;62,06
SK1116;2024-04-27;71,62
SK1315;2023-03-30;62,77
SK1095;2023-10-29;99,61
SK1133;2024-09-03;73,34
SK1313;2024-06-17;129,54
SK1464;2023-09-11;14,28
SK1031;2024-08-07;23,29
SK1124;2023-04-08;17,32
SK1361;2023-11-29;139,65
SK1353;2023-12-22;53,23
SK1258;2023-12-01;114,7
SK1206;2023-11-02;59,04
SK1169;2024-07-22;72,31
SK1110;2024-03-27;105,72
SK1250;2023-05-10;95,03
SK1108;2024-02-19;88,68
SK1433;2024-06-10;13,35
SK1453;2024-05-26;98,88
SK1287;2023-10-02;28,43
SK1137;2024-06-24;61,66
SK1200;2024-06-18;104,79
SK1458;2024-03-05;56,75
