"zeme";"kohorta_mesic";"velikost_kohorty";"retence_mesic_0_pct";"retence_mesic_3_pct";"retence_mesic_6_pct";"retence_mesic_9_pct";"zakaznici_mesic_3";"zakaznici_mesic_6";"zakaznici_mesic_9";"konec_sledovaneho_obdobi";"datum_potrebne_pro_m3";"datum_potrebne_pro_m6";"datum_potrebne_pro_m9"
ALL;2023-01-01;74;100.00;39.19;29.73;32.43;29;22;24;2024-09-30;2023-05-31;2023-08-31;2023-11-30
ALL;2023-02-01;63;100.00;31.75;31.75;33.33;20;20;21;2024-09-30;2023-06-30;2023-09-30;2023-12-31
ALL;2023-03-01;69;100.00;21.74;33.33;27.54;15;23;19;2024-09-30;2023-07-31;2023-10-31;2024-01-31
ALL;2023-04-01;71;100.00;30.99;32.39;29.58;22;23;21;2024-09-30;2023-08-31;2023-11-30;2024-02-29
ALL;2023-05-01;83;100.00;40.96;37.35;26.51;34;31;22;2024-09-30;2023-09-30;2023-12-31;2024-03-31
ALL;2023-06-01;77;100.00;32.47;29.87;24.68;25;23;19;2024-09-30;2023-10-31;2024-01-31;2024-04-30
ALL;2023-07-01;74;100.00;24.32;27.03;29.73;18;20;22;2024-09-30;2023-11-30;2024-02-29;2024-05-31
ALL;2023-08-01;78;100.00;25.64;29.49;30.77;20;23;24;2024-09-30;2023-12-31;2024-03-31;2024-06-30
ALL;2023-09-01;86;100.00;25.58;22.09;26.74;22;19;23;2024-09-30;2024-01-31;2024-04-30;2024-07-31
ALL;2023-10-01;65;100.00;30.77;20.00;33.85;20;13;22;2024-09-30;2024-02-29;2024-05-31;2024-08-31
ALL;2023-11-01;73;100.00;28.77;21.92;23.29;21;16;17;2024-09-30;2024-03-31;2024-06-30;2024-09-30
ALL;2023-12-01;64;100.00;20.31;17.19;;13;11;;2024-09-30;2024-04-30;2024-07-31;2024-10-31
ALL;2024-01-01;79;100.00;26.58;30.38;;21;24;;2024-09-30;2024-05-31;2024-08-31;2024-11-30
ALL;2024-02-01;45;100.00;15.56;20.00;;7;9;;2024-09-30;2024-06-30;2024-09-30;2024-12-31
ALL;2024-03-01;66;100.00;22.73;;;15;;;2024-09-30;2024-07-31;2024-10-31;2025-01-31
ALL;2024-04-01;48;100.00;18.75;;;9;;;2024-09-30;2024-08-31;2024-11-30;2025-02-28
ALL;2024-05-01;76;100.00;13.16;;;10;;;2024-09-30;2024-09-30;2024-12-31;2025-03-31
ALL;2024-06-01;78;100.00;;;;;;;2024-09-30;2024-10-31;2025-01-31;2025-04-30
ALL;2024-07-01;79;100.00;;;;;;;2024-09-30;2024-11-30;2025-02-28;2025-05-31
ALL;2024-08-01;87;100.00;;;;;;;2024-09-30;2024-12-31;2025-03-31;2025-06-30
ALL;2024-09-01;65;100.00;;;;;;;2024-09-30;2025-01-31;2025-04-30;2025-07-31
CZ;2023-01-01;23;100.00;30.43;34.78;43.48;7;8;10;2024-09-30;2023-05-31;2023-08-31;2023-11-30
CZ;2023-02-01;20;100.00;35.00;35.00;25.00;7;7;5;2024-09-30;2023-06-30;2023-09-30;2023-12-31
CZ;2023-03-01;23;100.00;13.04;30.43;26.09;3;7;6;2024-09-30;2023-07-31;2023-10-31;2024-01-31
CZ;2023-04-01;22;100.00;40.91;18.18;45.45;9;4;10;2024-09-30;2023-08-31;2023-11-30;2024-02-29
CZ;2023-05-01;28;100.00;50.00;25.00;25.00;14;7;7;2024-09-30;2023-09-30;2023-12-31;2024-03-31
CZ;2023-06-01;26;100.00;30.77;30.77;34.62;8;8;9;2024-09-30;2023-10-31;2024-01-31;2024-04-30
CZ;2023-07-01;33;100.00;27.27;27.27;24.24;9;9;8;2024-09-30;2023-11-30;2024-02-29;2024-05-31
CZ;2023-08-01;21;100.00;23.81;33.33;23.81;5;7;5;2024-09-30;2023-12-31;2024-03-31;2024-06-30
CZ;2023-09-01;34;100.00;29.41;11.76;23.53;10;4;8;2024-09-30;2024-01-31;2024-04-30;2024-07-31
CZ;2023-10-01;18;100.00;38.89;27.78;22.22;7;5;4;2024-09-30;2024-02-29;2024-05-31;2024-08-31
CZ;2023-11-01;25;100.00;40.00;16.00;28.00;10;4;7;2024-09-30;2024-03-31;2024-06-30;2024-09-30
CZ;2023-12-01;16;100.00;6.25;6.25;;1;1;;2024-09-30;2024-04-30;2024-07-31;2024-10-31
CZ;2024-01-01;29;100.00;13.79;24.14;;4;7;;2024-09-30;2024-05-31;2024-08-31;2024-11-30
CZ;2024-02-01;15;100.00;6.67;20.00;;1;3;;2024-09-30;2024-06-30;2024-09-30;2024-12-31
CZ;2024-03-01;25;100.00;28.00;;;7;;;2024-09-30;2024-07-31;2024-10-31;2025-01-31
CZ;2024-04-01;15;100.00;13.33;;;2;;;2024-09-30;2024-08-31;2024-11-30;2025-02-28
CZ;2024-05-01;26;100.00;7.69;;;2;;;2024-09-30;2024-09-30;2024-12-31;2025-03-31
CZ;2024-06-01;28;100.00;;;;;;;2024-09-30;2024-10-31;2025-01-31;2025-04-30
CZ;2024-07-01;24;100.00;;;;;;;2024-09-30;2024-11-30;2025-02-28;2025-05-31
CZ;2024-08-01;25;100.00;;;;;;;2024-09-30;2024-12-31;2025-03-31;2025-06-30
CZ;2024-09-01;24;100.00;;;;;;;2024-09-30;2025-01-31;2025-04-30;2025-07-31
SK;2023-01-01;27;100.00;44.44;29.63;22.22;12;8;6;2024-09-30;2023-05-31;2023-08-31;2023-11-30
SK;2023-02-01;20;100.00;25.00;25.00;20.00;5;5;4;2024-09-30;2023-06-30;2023-09-30;2023-12-31
SK;2023-03-01;18;100.00;38.89;27.78;33.33;7;5;6;2024-09-30;2023-07-31;2023-10-31;2024-01-31
SK;2023-04-01;24;100.00;29.17;41.67;16.67;7;10;4;2024-09-30;2023-08-31;2023-11-30;2024-02-29
SK;2023-05-01;23;100.00;52.17;34.78;17.39;12;8;4;2024-09-30;2023-09-30;2023-12-31;2024-03-31
SK;2023-06-01;26;100.00;19.23;30.77;23.08;5;8;6;2024-09-30;2023-10-31;2024-01-31;2024-04-30
SK;2023-07-01;20;100.00;20.00;20.00;25.00;4;4;5;2024-09-30;2023-11-30;2024-02-29;2024-05-31
SK;2023-08-01;34;100.00;32.35;32.35;32.35;11;11;11;2024-09-30;2023-12-31;2024-03-31;2024-06-30
SK;2023-09-01;26;100.00;26.92;30.77;26.92;7;8;7;2024-09-30;2024-01-31;2024-04-30;2024-07-31
SK;2023-10-01;26;100.00;26.92;19.23;42.31;7;5;11;2024-09-30;2024-02-29;2024-05-31;2024-08-31
SK;2023-11-01;27;100.00;25.93;33.33;25.93;7;9;7;2024-09-30;2024-03-31;2024-06-30;2024-09-30
SK;2023-12-01;28;100.00;21.43;28.57;;6;8;;2024-09-30;2024-04-30;2024-07-31;2024-10-31
SK;2024-01-01;21;100.00;42.86;38.10;;9;8;;2024-09-30;2024-05-31;2024-08-31;2024-11-30
SK;2024-02-01;20;100.00;10.00;25.00;;2;5;;2024-09-30;2024-06-30;2024-09-30;2024-12-31
SK;2024-03-01;20;100.00;5.00;;;1;;;2024-09-30;2024-07-31;2024-10-31;2025-01-31
SK;2024-04-01;13;100.00;23.08;;;3;;;2024-09-30;2024-08-31;2024-11-30;2025-02-28
